Date,Open
06/22/2023,1930.43
06/21/2023,1810.99
06/20/2023,1731.11
06/19/2023,1723.01
06/18/2023,1728.90
06/17/2023,1718.77
06/16/2023,1667.24
06/15/2023,1652.01
06/14/2023,1746.24
06/13/2023,1747.38
06/12/2023,1735.77
06/11/2023,1751.55
06/10/2023,1827.52
06/09/2023,1838.64
06/08/2023,1835.04
06/07/2023,1877.33
06/06/2023,1812.47
06/05/2023,1869.65
06/04/2023,1894.09
06/03/2023,1899.94
06/02/2023,1879.06
06/01/2023,1855.52
05/31/2023,1897.72
05/30/2023,1901.70
05/29/2023,1904.12
05/28/2023,1850.75
05/27/2023,1834.07
05/26/2023,1807.43
05/25/2023,1781.41
05/24/2023,1821.78
05/23/2023,1866.14
05/22/2023,1800.91
05/21/2023,1818.41
05/20/2023,1813.07
05/19/2023,1801.09
05/18/2023,1825.66
05/17/2023,1823.42
05/16/2023,1810.08
05/15/2023,1823.36
05/14/2023,1803.91
05/13/2023,1805.44
05/12/2023,1768.73
05/11/2023,1827.61
05/10/2023,1844.29
05/09/2023,1843.84
05/08/2023,1865.23
05/07/2023,1893.02
05/06/2023,1970.39
05/05/2023,1896.77
05/04/2023,1903.67
05/03/2023,1862.67
05/02/2023,1830.49
05/01/2023,1846.61
04/30/2023,1895.85
04/29/2023,1896.49
04/28/2023,1905.34
04/27/2023,1898.05
04/26/2023,1862.27
04/25/2023,1829.97
04/24/2023,1867.34
04/23/2023,1859.28
04/22/2023,1854.69
04/21/2023,1945.17
04/20/2023,1938.88
04/19/2023,2092.17
04/18/2023,2079.70
04/17/2023,2097.35
04/16/2023,2086.13
04/15/2023,2088.81
04/14/2023,2108.91
04/13/2023,1912.63
04/12/2023,1862.78
04/11/2023,1923.47
04/10/2023,1857.96
04/09/2023,1851.97
04/08/2023,1868.71
04/07/2023,1876.98
04/06/2023,1899.46
04/05/2023,1912.60
04/04/2023,1807.99
04/03/2023,1778.33
04/02/2023,1817.49
04/01/2023,1821.62
03/31/2023,1803.90
03/30/2023,1786.45
03/29/2023,1777.96
03/28/2023,1711.99
03/27/2023,1765.55
03/26/2023,1749.47
03/25/2023,1758.81
03/24/2023,1809.85
03/23/2023,1738.88
03/22/2023,1799.89
03/21/2023,1746.05
03/20/2023,1751.78
03/19/2023,1782.59
03/18/2023,1810.46
03/17/2023,1707.92
03/16/2023,1647.12
03/15/2023,1701.80
03/14/2023,1677.67
03/13/2023,1588.81
03/12/2023,1467.27
03/11/2023,1460.58
03/10/2023,1415.99
03/09/2023,1538.41
03/08/2023,1562.84
03/07/2023,1575.68
03/06/2023,1559.51
03/05/2023,1572.43
03/04/2023,1569.77
03/03/2023,1571.22
03/02/2023,1651.34
03/01/2023,1658.96
02/28/2023,1627.52
02/27/2023,1635.48
02/26/2023,1600.81
02/25/2023,1601.70
02/24/2023,1647.21
02/23/2023,1670.33
02/22/2023,1643.81
02/21/2023,1696.42
02/20/2023,1688.79
02/19/2023,1697.79
02/18/2023,1699.89
02/17/2023,1659.14
02/16/2023,1694.75
02/15/2023,1498.67
02/14/2023,1498.57
02/13/2023,1517.95
02/12/2023,1531.58
02/11/2023,1520.03
02/10/2023,1539.33
02/09/2023,1623.97
02/08/2023,1679.39
02/07/2023,1632.37
02/06/2023,1624.82
02/05/2023,1657.77
02/04/2023,1652.70
02/03/2023,1640.33
02/02/2023,1673.25
02/01/2023,1582.99
01/31/2023,1572.61
01/30/2023,1636.23
01/29/2023,1586.19
01/28/2023,1598.84
01/27/2023,1564.80
01/26/2023,1616.07
01/25/2023,1546.62
01/24/2023,1638.86
01/23/2023,1630.95
01/22/2023,1622.48
01/21/2023,1648.94
01/20/2023,1553.24
01/19/2023,1524.69
01/18/2023,1584.59
01/17/2023,1567.73
01/16/2023,1572.37
01/15/2023,1526.91
01/14/2023,1553.10
01/13/2023,1411.78
01/12/2023,1404.11
01/11/2023,1331.13
01/10/2023,1327.68
01/09/2023,1310.95
01/08/2023,1262.34
01/07/2023,1264.52
01/06/2023,1250.91
01/05/2023,1253.32
01/04/2023,1250.32
01/03/2023,1213.58
01/02/2023,1201.38
01/01/2023,1192.60
12/31/2022,1195.46
12/30/2022,1197.90
12/29/2022,1196.31
12/28/2022,1197.56
12/27/2022,1224.29
12/26/2022,1220.39
12/25/2022,1219.63
12/24/2022,1217.43
12/23/2022,1223.41
12/22/2022,1211.78
12/21/2022,1206.70
12/20/2022,1209.27
12/19/2022,1182.01
12/18/2022,1191.28
12/17/2022,1180.28
12/16/2022,1271.80
12/15/2022,1292.03
12/14/2022,1319.93
12/13/2022,1269.48
12/12/2022,1246.35
12/11/2022,1272.68
12/10/2022,1264.24
12/09/2022,1283.79
12/08/2022,1229.15
12/07/2022,1263.55
12/06/2022,1261.05
12/05/2022,1300.38
12/04/2022,1261.94
12/03/2022,1273.22
12/02/2022,1271.61
12/01/2022,1287.86
11/30/2022,1266.03
11/29/2022,1184.38
11/28/2022,1174.67
11/27/2022,1216.49
11/26/2022,1223.16
11/25/2022,1175.37
11/24/2022,1203.38
11/23/2022,1163.50
11/22/2022,1101.84
11/21/2022,1128.99
11/20/2022,1207.31
11/18/2022,1205.17
11/17/2022,1207.31
11/16/2022,1245.93
11/15/2022,1256.88
11/14/2022,1193.67
11/13/2022,1272.20
11/12/2022,1259.65
11/11/2022,1234.84
